sentence1	sentence2	gold_label
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 673 cm boulder is tall.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 692 cm boulder is tall.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 711 cm boulder is tall.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 730 cm boulder is tall.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1129 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1148 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1167 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1224 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1262 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1281 cm boulder is tall.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 559 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 578 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 597 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 616 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 635 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 654 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 673 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 692 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 730 cm boulder is short.	entailment
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1110 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1129 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1148 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1167 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1205 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1224 cm boulder is short.	contradiction
A 1110 cm boulder is tall. A 730 cm boulder is short.	A 1243 cm boulder is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 640 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 660 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 680 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 700 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 720 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 740 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 760 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 780 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 800 m hill is tall.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1220 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1240 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1300 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1320 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1340 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1360 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1380 m hill is tall.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 680 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 700 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 720 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 740 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 760 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 780 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 800 m hill is short.	entailment
A 1200 m hill is tall. A 800 m hill is short.	A 1200 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1220 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1260 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1280 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1300 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1320 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1340 m hill is short.	contradiction
A 1200 m hill is tall. A 800 m hill is short.	A 1380 m hill is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 2 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 4 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 6 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 8 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 10 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 12 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 14 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 16 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 18 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 20 m peak is tall.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 60 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 62 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 66 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 68 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 70 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 74 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 76 m peak is tall.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 6 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 10 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 12 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 14 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 16 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 18 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 20 m peak is short.	entailment
A 60 m peak is tall. A 20 m peak is short.	A 60 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 64 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 68 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 70 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 72 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 74 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 76 m peak is short.	contradiction
A 60 m peak is tall. A 20 m peak is short.	A 78 m peak is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 12 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 14 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 16 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 18 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 20 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 24 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 26 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 28 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 30 m path is long.	contradiction
A 70 m path is long. A 30 m path is short.	A 72 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 74 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 78 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 80 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 82 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 84 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 86 m path is long.	entailment
A 70 m path is long. A 30 m path is short.	A 12 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 16 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 18 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 20 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 22 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 24 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 28 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 30 m path is short.	entailment
A 70 m path is long. A 30 m path is short.	A 70 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 72 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 74 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 76 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 78 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 80 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 82 m path is short.	contradiction
A 70 m path is long. A 30 m path is short.	A 88 m path is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 102 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 106 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 110 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 114 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 118 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 122 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 126 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 130 cm adult is tall.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 210 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 214 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 218 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 222 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 226 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 234 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 242 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 246 cm adult is tall.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 106 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 110 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 118 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 122 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 126 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 130 cm adult is short.	entailment
A 210 cm adult is tall. A 130 cm adult is short.	A 214 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 218 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 222 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 226 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 230 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 234 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 242 cm adult is short.	contradiction
A 210 cm adult is tall. A 130 cm adult is short.	A 246 cm adult is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 155 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 165 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 170 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 175 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 185 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 190 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 195 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 200 m capitol is tall.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 300 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 305 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 310 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 315 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 320 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 325 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 330 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 335 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 340 m capitol is tall.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 165 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 175 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 180 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 185 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 190 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 195 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 200 m capitol is short.	entailment
A 300 m capitol is tall. A 200 m capitol is short.	A 300 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 305 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 310 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 315 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 320 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 325 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 330 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 335 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 340 m capitol is short.	contradiction
A 300 m capitol is tall. A 200 m capitol is short.	A 345 m capitol is short.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 22 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 24 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 26 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 28 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 34 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 36 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 40 cm fish is long.	contradiction
A 80 cm fish is long. A 40 cm fish is short.	A 80 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 82 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 86 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 88 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 90 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 94 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 96 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 98 cm fish is long.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 22 cm fish is short.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 24 cm fish is short.	entailment
A 80 cm fish is long. A 40 cm fish is short.	A 26 cm fish is short.	entailment
